model,stage,task,actor,at_utc,evidence
Codex,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T05:09:22.349Z,session-2-mttn2cuc
Codex,PM创建子任务,TASK-20260909-002,DEV,2026-09-09T05:10:43.821Z,fcop/_lifecycle/done/TASK-20260909-002-PM-to-DEV.md
Codex,正式会话开始,TASK-20260909-002,DEV-01,2026-09-09T05:10:48.554Z,session-3-mttn483h
Codex,PM创建子任务,TASK-20260909-003,QA,2026-09-09T05:11:24.812Z,fcop/_lifecycle/done/TASK-20260909-003-PM-to-QA.md
Codex,正式会话开始,TASK-20260909-003,QA-01,2026-09-09T05:11:27.684Z,session-4-mttn542j
Codex,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T05:12:30.352Z,session-2-mttn2cuc
Codex,报告文件生成:done,TASK-20260909-002,DEV,2026-09-09T05:12:40+00:00,fcop/reports/REPORT-20260909-001-DEV-to-PM.md
Codex,会话结束:completed,TASK-20260909-002,DEV-01,2026-09-09T05:12:52.594Z,session-3-mttn483h
Codex,报告文件生成:done,TASK-20260909-003,QA,2026-09-09T05:13:47+00:00,fcop/reports/REPORT-20260909-002-QA-to-PM.md
Codex,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T05:13:54.076Z,session-5-mttn894s
Codex,会话结束:completed,TASK-20260909-003,QA-01,2026-09-09T05:14:02.262Z,session-4-mttn542j
Codex,PM创建子任务,TASK-20260909-004,OPS,2026-09-09T05:16:00.473Z,fcop/_lifecycle/done/TASK-20260909-004-PM-to-OPS.md
Codex,正式会话开始,TASK-20260909-004,OPS-01,2026-09-09T05:16:03.165Z,session-6-mttnb0pw
Codex,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T05:16:25.552Z,session-5-mttn894s
Codex,报告文件生成:done,TASK-20260909-004,OPS,2026-09-09T05:18:02+00:00,fcop/reports/REPORT-20260909-003-OPS-to-PM.md
Codex,会话结束:completed,TASK-20260909-004,OPS-01,2026-09-09T05:18:16.701Z,session-6-mttnb0pw
Codex,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T05:19:21.552Z,session-7-mttnf9oq
Codex,报告文件生成:done,TASK-20260909-001,PM,2026-09-09T05:21:35+00:00,fcop/reports/REPORT-20260909-004-PM-to-ADMIN.md
Codex,PM最终成功回执,TASK-20260909-001,PM,2026-09-09T05:21:42.814Z,runtime/tool/lifecycle receipt
Codex,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T05:21:46.989Z,session-7-mttnf9oq
豆包,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T05:44:04.472Z,session-2-mttob2cg
豆包,PM创建子任务,TASK-20260909-002,DEV,2026-09-09T05:45:05.216Z,fcop/_lifecycle/done/TASK-20260909-002-PM-to-DEV.md
豆包,正式会话开始,TASK-20260909-002,DEV-01,2026-09-09T05:45:07.636Z,session-3-mttocf3o
豆包,PM创建子任务,TASK-20260909-003,OPS,2026-09-09T05:45:54.034Z,fcop/_lifecycle/done/TASK-20260909-003-PM-to-OPS.md
豆包,正式会话开始,TASK-20260909-003,OPS-01,2026-09-09T05:45:57.256Z,session-4-mttodhal
豆包,PM创建子任务,TASK-20260909-004,QA,2026-09-09T05:48:07.729Z,fcop/_lifecycle/done/TASK-20260909-004-PM-to-QA.md
豆包,正式会话开始,TASK-20260909-004,QA-01,2026-09-09T05:48:09.999Z,session-5-mttogbr3
豆包,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T05:53:49.032Z,session-2-mttob2cg
豆包,报告文件生成:done,TASK-20260909-002,DEV,2026-09-09T05:56:06+00:00,fcop/reports/REPORT-20260909-001-DEV-to-PM.md
豆包,会话结束:completed,TASK-20260909-002,DEV-01,2026-09-09T05:56:34.456Z,session-3-mttocf3o
豆包,报告文件生成:done,TASK-20260909-003,OPS,2026-09-09T05:56:56+00:00,fcop/reports/REPORT-20260909-002-OPS-to-PM.md
豆包,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T05:57:14.355Z,session-6-mttorzuf
豆包,会话结束:completed,TASK-20260909-003,OPS-01,2026-09-09T05:57:21.173Z,session-4-mttodhal
豆包,报告文件生成:done,TASK-20260909-004,QA,2026-09-09T05:58:38+00:00,fcop/reports/REPORT-20260909-003-QA-to-PM.md
豆包,会话结束:completed,TASK-20260909-004,QA-01,2026-09-09T05:59:00.604Z,session-5-mttogbr3
豆包,报告文件生成:done,TASK-20260909-001,PM,2026-09-09T06:05:58+00:00,fcop/reports/REPORT-20260909-004-PM-to-ADMIN.md
豆包,PM最终成功回执,TASK-20260909-001,PM,2026-09-09T06:06:03.949Z,runtime/tool/lifecycle receipt
豆包,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T06:06:21.340Z,session-6-mttorzuf
DeepSeek,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T06:55:33.915Z,session-2-mttquzyq
DeepSeek,PM创建子任务,TASK-20260909-002,DEV,2026-09-09T07:02:02.495Z,fcop/_lifecycle/done/TASK-20260909-002-PM-to-DEV.md
DeepSeek,正式会话开始,TASK-20260909-002,DEV-01,2026-09-09T07:02:04.677Z,session-3-mttr3dle
DeepSeek,PM创建子任务,TASK-20260909-003,QA,2026-09-09T07:02:33.849Z,fcop/_lifecycle/done/TASK-20260909-003-PM-to-QA.md
DeepSeek,正式会话开始,TASK-20260909-003,QA-01,2026-09-09T07:02:35.836Z,session-4-mttr41kv
DeepSeek,PM创建子任务,TASK-20260909-004,OPS,2026-09-09T07:03:16.089Z,fcop/_lifecycle/done/TASK-20260909-004-PM-to-OPS.md
DeepSeek,正式会话开始,TASK-20260909-004,OPS-01,2026-09-09T07:03:19.049Z,session-5-mttr4yyz
DeepSeek,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T07:04:13.745Z,session-2-mttquzyq
DeepSeek,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T07:07:32.068Z,session-6-mttrae5y
DeepSeek,报告文件生成:done,TASK-20260909-002,DEV,2026-09-09T07:24:19+00:00,fcop/reports/REPORT-20260909-001-DEV-to-PM.md
DeepSeek,会话结束:completed,TASK-20260909-002,DEV-01,2026-09-09T07:24:42.197Z,session-3-mttr3dle
DeepSeek,报告文件生成:done,TASK-20260909-003,QA,2026-09-09T07:25:55+00:00,fcop/reports/REPORT-20260909-002-QA-to-PM.md
DeepSeek,会话结束:completed,TASK-20260909-003,QA-01,2026-09-09T07:26:25.766Z,session-4-mttr41kv
DeepSeek,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T07:26:40.381Z,session-6-mttrae5y
DeepSeek,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T07:27:04.145Z,session-7-mttrziif
DeepSeek,报告文件生成:done,TASK-20260909-004,OPS,2026-09-09T07:28:33+00:00,fcop/reports/REPORT-20260909-003-OPS-to-PM.md
DeepSeek,会话结束:completed,TASK-20260909-004,OPS-01,2026-09-09T07:29:35.403Z,session-5-mttr4yyz
DeepSeek,报告文件生成:done,TASK-20260909-001,PM,2026-09-09T07:34:49+00:00,fcop/reports/REPORT-20260909-004-PM-to-ADMIN.md
DeepSeek,PM最终成功回执,TASK-20260909-001,PM,2026-09-09T07:34:54.931Z,runtime/tool/lifecycle receipt
DeepSeek,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T07:35:12.926Z,session-7-mttrziif
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:08:54.789Z,session-2-mttthbxl
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:15:11.273Z,session-2-mttthbxl
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:16:14.372Z,session-3-mtttqqvf
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:19:19.552Z,session-3-mtttqqvf
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:20:21.816Z,session-4-mtttw1ur
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:20:46.318Z,session-4-mtttw1ur
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:21:48.894Z,session-5-mtttxx2j
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:28:36.173Z,session-5-mtttxx2j
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:29:39.807Z,session-6-mttu809h
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:30:05.248Z,session-6-mttu809h
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:31:08.002Z,session-7-mttu9wd4
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:31:32.516Z,session-7-mttu9wd4
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:32:35.963Z,session-8-mttubs9j
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:33:13.735Z,session-8-mttubs9j
Kimi,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:34:16.075Z,session-9-mttudxm3
Kimi,强制终止边界,TASK-20260909-001,ADMIN,2026-09-09T08:40:38.191Z,runtime/tool/lifecycle receipt
Kimi,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T08:40:38.632Z,session-9-mttudxm3
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T08:49:53.862Z,session-2-mttuy11i
千问,PM创建子任务,TASK-20260909-002,OPS,2026-09-09T09:01:39.739Z,fcop/_lifecycle/archive/TASK-20260909-002-PM-to-OPS.md
千问,正式会话开始,TASK-20260909-002,OPS-01,2026-09-09T09:01:42.694Z,session-3-mttvd80t
千问,PM创建子任务,TASK-20260909-003,DEV,2026-09-09T09:06:36.518Z,fcop/_lifecycle/done/TASK-20260909-003-PM-to-DEV.md
千问,正式会话开始,TASK-20260909-003,DEV-01,2026-09-09T09:06:38.389Z,session-4-mttvjkdd
千问,PM创建子任务,TASK-20260909-004,QA,2026-09-09T09:09:51.237Z,fcop/_lifecycle/archive/TASK-20260909-004-PM-to-QA.md
千问,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T09:21:36.306Z,session-2-mttuy11i
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T09:23:46.557Z,session-5-mttw5lq9
千问,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T09:36:13.534Z,session-5-mttw5lq9
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T09:38:46.883Z,session-6-mttwowk4
千问,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T09:52:23.251Z,session-6-mttwowk4
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T09:53:45.405Z,session-7-mttx85vg
千问,报告文件生成:done,TASK-20260909-003,DEV,2026-09-09T09:55:21+00:00,fcop/reports/REPORT-20260909-001-DEV-to-PM.md
千问,会话结束:completed,TASK-20260909-003,DEV-01,2026-09-09T09:56:10.971Z,session-4-mttvjkdd
千问,正式会话开始,TASK-20260909-004,QA-01,2026-09-09T10:02:14.853Z,session-8-mttxj2uz
千问,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T10:06:49.727Z,session-7-mttx85vg
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T10:08:39.658Z,session-9-mttxrbvf
千问,会话结束:failed,TASK-20260909-002,OPS-01,2026-09-09T10:21:00.845Z,session-3-mttvd80t
千问,报告文件生成:blocked,TASK-20260909-001,PM,2026-09-09T10:29:37+00:00,fcop/reports/REPORT-20260909-002-PM-to-ADMIN.md
千问,报告文件生成:blocked,TASK-20260909-001,PM,2026-09-09T10:31:45+00:00,fcop/reports/REPORT-20260909-003-PM-to-ADMIN.md
千问,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T10:34:31.334Z,session-9-mttxrbvf
千问,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T10:38:38.849Z,session-a-mttytw59
千问,会话结束:failed,TASK-20260909-004,QA-01,2026-09-09T10:52:00.336Z,session-8-mttxj2uz
千问,会话结束:failed,TASK-20260909-001,PM-01,2026-09-09T10:52:00.630Z,session-a-mttytw59
千问,强制终止边界,TASK-20260909-001,ADMIN,2026-09-09T10:52:03.679Z,runtime/tool/lifecycle receipt
Cursor,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T13:44:11.690Z,session-2-mtu5gg55
Cursor,PM创建子任务,TASK-20260909-002,DEV,2026-09-09T13:45:13.759Z,fcop/_lifecycle/done/TASK-20260909-002-PM-to-DEV.md
Cursor,正式会话开始,TASK-20260909-002,DEV-01,2026-09-09T13:45:17.385Z,session-3-mtu5hvrk
Cursor,报告文件生成:done,TASK-20260909-002,DEV,2026-09-09T13:47:03+00:00,fcop/reports/REPORT-20260909-001-DEV-to-PM.md
Cursor,PM创建子任务,TASK-20260909-003,QA,2026-09-09T13:47:09.179Z,fcop/_lifecycle/done/TASK-20260909-003-PM-to-QA.md
Cursor,会话结束:completed,TASK-20260909-002,DEV-01,2026-09-09T13:47:25.465Z,session-3-mtu5hvrk
Cursor,PM创建子任务,TASK-20260909-004,OPS,2026-09-09T13:47:31.591Z,fcop/_lifecycle/done/TASK-20260909-004-PM-to-OPS.md
Cursor,正式会话开始,TASK-20260909-004,OPS-01,2026-09-09T13:47:35.228Z,session-8-mtu5kua9
Cursor,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T13:49:17.026Z,session-2-mtu5gg55
Cursor,报告文件生成:done,TASK-20260909-004,OPS,2026-09-09T13:49:48+00:00,fcop/reports/REPORT-20260909-002-OPS-to-PM.md
Cursor,会话结束:completed,TASK-20260909-004,OPS-01,2026-09-09T13:50:07.881Z,session-8-mtu5kua9
Cursor,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T13:50:35.344Z,session-9-mtu5oocq
Cursor,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T13:52:21.950Z,session-9-mtu5oocq
Cursor,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T13:55:07.777Z,session-a-mtu5uhrx
Cursor,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T13:55:48.460Z,session-a-mtu5uhrx
Cursor,正式会话开始,TASK-20260909-001,PM-01,2026-09-09T13:57:10.559Z,session-b-mtu5x5ae
Cursor,PM创建子任务,TASK-20260909-005,QA,2026-09-09T14:00:09.621Z,fcop/_lifecycle/done/TASK-20260909-005-PM-to-QA.md
Cursor,正式会话开始,TASK-20260909-005,QA-01,2026-09-09T14:00:11.825Z,session-c-mtu612vz
Cursor,会话结束:completed,TASK-20260909-001,PM-01,2026-09-09T14:00:50.706Z,session-b-mtu5x5ae
Cursor,报告文件生成:done,TASK-20260909-005,QA,2026-09-09T14:01:46+00:00,fcop/reports/REPORT-20260909-003-QA-to-PM.md
Cursor,会话结束:completed,TASK-20260909-005,QA-01,2026-09-09T14:02:10.501Z,session-c-mtu612vz
