case,restricted_source_class,source_sha256,public_derivative,redaction_class
A1,runtime-full-record,38d16c7312457acc49de67c4d23ba19e2dd808306b3f6ff141b4ac415e75e63d,transcript-a1.md,paths-and-fixture-identifiers-removed
A1,shell-full-record,9612993d29339de3b933696f941c635468e185f0d39d2f75956f8d0a28c2b4ad,transcript-a1.md,paths-removed
A1,controlled-restart-record,80e61c980cb9f0a9474bb8b1ef5a4c33efef73325a4ef579a3754d88cda20008,transcript-a1.md,host-port-process-and-task-identifiers-removed
A2,baseline-observer-record,53c1e2d94cf4a3ab92d17d782f7ce89fb1dfb23c0dcefde7072fa1c8a148fd71,transcript-a2.md,paths-and-stable-envelope-identifiers-removed
A2,candidate-observer-record,6c58cc2e7e1674c98050af0f583393c12ffb6c924db45529caebc3f05a40bf96,transcript-a2.md,paths-removed
A3,targeted-projection-record,6dfd31bcebe895241d085157c5a09a0350093acae4a565c1b6c357f442708e58,transcript-a3.md,private-test-paths-abstracted
A3,integration-projection-record,74a41e6bda7d6c5b565012bc556c3c053417ec53ec6f49f2820ac376a3ccb6bf,transcript-a3.md,private-test-paths-abstracted
A3,runtime-api-record,ce00491848ea264c0a43bb1b592eab71764d2fa9710bd43caf6270670b2765e2,transcript-a3.md,host-process-and-envelope-identifiers-removed
A3,ui-record,db6d39a42cbe8b6abb65d64c10314a99c941eec1254e3fb3fa16485e76e8fa74,transcript-a3.md,host-and-envelope-identifiers-removed
A4,governance-delivery-audit,297a6e1701016e09748bc2ea1bbc420e25da60d127dbe669d145e226a5d5666c,transcript-a4.md,stable-directive-identifiers-removed
A4,repair-result-record,ecabc1eb2df399d9846f52c95204f5c66a3e5b2e28d5463daab340c5658b9171,transcript-a4.md,commit-and-source-path-removed
A4,recovery-timeline-record,261002e042fb14482b3b44060bbec55e580c5258215a407d833b1121390e2416,case-a4-recovery-timeline.csv,stable-task-report-and-decision-identifiers-removed
A4,lifecycle-test-record,f3ebdb788a8d133b943972b455746902ce00a632d9528f0b845b36cf0176898b,transcript-a4.md,workdir-removed
A4,dispatcher-test-record,3d7b1722d5eb16cdd7e272cc7458f243e8a1b3d68f67bb7aac4d16d6b53043e7,transcript-a4.md,workdir-removed
A4,yaml-test-record,d2eac3b1b5ea7f0cde397cc485ac0209bdeb140c8f033f38f8ffa2a22b2b8e65,transcript-a4.md,workdir-removed
A4,pm-routing-test-record,58188fa6b8873321693c8ec907df358e4f1f1eaf7994be4f80c66cb0fa5d3ff1,transcript-a4.md,workdir-removed
A4,typecheck-record,2c006413431133ee2ea8cc2949d6af8eaa9b19308e86489b3e6651e927305ebd,transcript-a4.md,workdir-removed
A4,skill-validation-record,068a60ac9e58252c6ba52038dbac0fd17623e779f0eda92e69d42dc7f10c0e39,transcript-a4.md,workdir-removed
